edge_id,avg_vehicles,max_vehicles,avg_speed,avg_occupancy
-E13,1.696078431372549,19,13.710597115174107,0.012022513898476197
-E14,1.5980392156862746,10,13.709242052195874,0.011460115786542291
-E16,1.6519607843137254,19,13.690534683256942,0.012158092196238243
-E17,0.0,0,13.89,0.0
-E18,0.0,0,13.89,0.0
-E19,0.0,0,13.89,0.0
-E20,0.0,0,13.89,0.0
-E21,0.0,0,13.89,0.0
-E23,0.0,0,13.89,0.0
-E24,0.0,0,13.89,0.0
-E25,1.7254901960784315,10,13.647092526801677,0.012166390501228296
-E26,0.0,0,13.89,0.0
:J0_0,0.0,0,13.89,0.0
:J0_3,0.2696078431372549,6,13.512841496851836,0.015016639110643725
:J0_6,0.22549019607843138,2,13.768618854014962,0.012650472983609502
:J0_9,0.0,0,13.89,0.0
:J1_0,0.19607843137254902,3,13.822634070552146,0.012117438217899278
:J1_3,0.0,0,13.89,0.0
:J1_6,0.0,0,13.89,0.0
:J1_9,0.27941176470588236,6,13.447413053457959,0.016353498258783773
:J5_0,0.0,0,13.89,0.0
:J5_3,0.20098039215686275,4,13.817441614089264,0.012263619603768865
:J5_6,0.1715686274509804,2,13.829379227100947,0.011573111441359557
:J5_9,0.0,0,13.89,0.0
:J6_0,0.25980392156862747,6,13.549988579387241,0.01477070575798957
:J6_3,0.2647058823529412,6,13.506224563502952,0.01649896288703983
:J6_6,0.0,0,13.89,0.0
:J6_9,0.0,0,13.89,0.0
E13,0.0,0,13.89,0.0
E14,0.0,0,13.89,0.0
E16,0.0,0,13.89,0.0
E17,1.7303921568627452,10,13.576493660269312,0.011992692229373901
E18,2.6127450980392157,18,12.71223166946439,0.0194991882466983
E19,2.014705882352941,10,12.222908820720798,0.014432873178793902
E20,2.8284313725490198,18,11.826857185180083,0.021220774012884868
E21,1.7352941176470589,18,13.639867734490755,0.012042281230182585
E23,4.553921568627451,19,11.38611078034863,0.03239273726368489
E24,1.6519607843137254,18,13.690245421189722,0.011575846630814613
E25,0.0,0,13.89,0.0
E26,4.5245098039215685,12,9.482372130947459,0.03458635254497255
